file	repo	source_sha256	repository_source_sha256	jenkins_source_sha256	jenkins_source_normalization	redacted	bytes	commit_sha1	license_spdx	license_disposition	inventory_job_count	all_jobs_disabled	jenkins_lint	jenkins_job	jenkins_compiled	jenkins_reached_agent	jenkins_console_sha256	linux_case	windows_case	migration_class	worker_v1	certified_equivalence
Ableton_python-pipeline-utils.Jenkinsfile	Ableton/python-pipeline-utils	541ede0e8e35b5c87c42af09c47f6b31c3e171dddbe51eeed9fa46b128cece1b	541ede0e8e35b5c87c42af09c47f6b31c3e171dddbe51eeed9fa46b128cece1b	541ede0e8e35b5c87c42af09c47f6b31c3e171dddbe51eeed9fa46b128cece1b	none	false	1781	38e62f92cff4c16a805e67b3269b28d91bf2f434	MIT	declared-license	1	true	not_declarative_pipeline	missing_shared_library	true	false	174f71aaed0508d22b064b45ac2a298595aa4b6983fe3f680859ea173da18e1a	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
AmanPathak-DevOps_EKS-Terraform-GitHub-Actions.Jenkinsfile	AmanPathak-DevOps/EKS-Terraform-GitHub-Actions	d3723d35a45518b8179853f3db1cc948ab29d4ed11d6d69f4cd59a258f0341ef	d3723d35a45518b8179853f3db1cc948ab29d4ed11d6d69f4cd59a258f0341ef	d3723d35a45518b8179853f3db1cc948ab29d4ed11d6d69f4cd59a258f0341ef	none	false	1929	6e3428437c7e413c2686cdf005933e11360025ec	Apache-2.0	declared-license	1	true	declarative_valid	compiled_waiting_for_agent	true	true	fcee631e0df6a0a037ae0c6678d676766a9b8069e6687e34d3232690ea6a669b	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
BBVA_mirrorgate.Jenkinsfile	BBVA/mirrorgate	231f42d14a263a32724fa95f1081fd299d867a4c835f5cf55cb6efe2600e63aa	231f42d14a263a32724fa95f1081fd299d867a4c835f5cf55cb6efe2600e63aa	231f42d14a263a32724fa95f1081fd299d867a4c835f5cf55cb6efe2600e63aa	none	false	1181	92f44f98568f25f53b692f9860fa138a3a627ff6	Apache-2.0	declared-license	1	true	not_declarative_pipeline	compiled_waiting_for_agent	true	true	44f54e200ec937566a3a9656de93b6c49ec5b0b75440d9ef86cdd1a4fc656021	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
Ben1980_jenkinsexample.Jenkinsfile	Ben1980/jenkinsexample	8a22b54d0b015d020d3a5d4fa96333b912b52a41f1ec5409de3414230ee1fb43	8a22b54d0b015d020d3a5d4fa96333b912b52a41f1ec5409de3414230ee1fb43	86b26fd6b86c0bbacb4aeece0fceda7a261c1003d499dead9c6e79885fe46e3c	xml-1.0-crlf-to-lf	false	1676	b5f91c714d1d417ab305cd4e9c381c191b0fbc71	MIT	declared-license	1	true	declarative_valid	compiled_waiting_for_agent	true	true	0dc2ed245630b0a59856e3aa8de72b9efeb174d35737d4315c2038fc7c00941a	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
Blazemeter_taurus.Jenkinsfile	Blazemeter/taurus	074a0ee6c59965a517af59eabfc48d37fb2ee2b9d6735bad7ab6ca241c50bfdc	074a0ee6c59965a517af59eabfc48d37fb2ee2b9d6735bad7ab6ca241c50bfdc	074a0ee6c59965a517af59eabfc48d37fb2ee2b9d6735bad7ab6ca241c50bfdc	none	false	4448	bfd6aa36fdc814d82f43abd99f7b89279e800002	Apache-2.0	declared-license	1	true	declarative_valid	compile_or_model_failure	false	false	0a37286283225191aed224c435f4b5fbb2690b19d1fdc2faa5f1ace5aeecd77f	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
Chabane_mitosis-microservice-spark-cassandra.Jenkinsfile	Chabane/mitosis-microservice-spark-cassandra	f9cf8fc20d1932ff38baa4edae4c071a93489c4f5aded7bb9edda90fef5f6ff3	f9cf8fc20d1932ff38baa4edae4c071a93489c4f5aded7bb9edda90fef5f6ff3	f9cf8fc20d1932ff38baa4edae4c071a93489c4f5aded7bb9edda90fef5f6ff3	none	false	984	6b232fadf5747eb609464b1e3f0ea3d904f6f397	Apache-2.0	declared-license	1	true	not_declarative_pipeline	compiled_waiting_for_agent	true	true	6caf5425c12417edecd6293622ecd4e65d23a92af2ea122d05e9ec0f8c5bd17c	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
DeekshithSN_Jenkinsfile.Jenkinsfile	DeekshithSN/Jenkinsfile	3b51ff90605d69af6700d5afc230f886a6d7119ed8f76f3a7ddf68b6d14c5513	3b51ff90605d69af6700d5afc230f886a6d7119ed8f76f3a7ddf68b6d14c5513	3b51ff90605d69af6700d5afc230f886a6d7119ed8f76f3a7ddf68b6d14c5513	none	false	697	a4a2620ef1b99e365bb254116919cc486d2668f0	NOASSERTION	evidence-only-noassertion	1	true	declarative_valid	compiled_waiting_for_agent	true	true	6a637bc89614ee61dba814e333912f055ba8596b9e2ce261586fb8477bcfe3b0	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
HariSekhon_DevOps-Bash-tools.Jenkinsfile	HariSekhon/DevOps-Bash-tools	def821a25309f566e5e68c2081126b2753b480cdea7748a785c0637c155a00ab	def821a25309f566e5e68c2081126b2753b480cdea7748a785c0637c155a00ab	def821a25309f566e5e68c2081126b2753b480cdea7748a785c0637c155a00ab	none	false	2269	4d9cdce86a2f408cb72ef02b20b3541ca803fade	MIT	declared-license	1	true	declarative_valid	compiled_waiting_for_agent	true	true	31d068bebddee614304ea714a195f941274229412ca418b6d5879fb8db90fd8d	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
HariSekhon_Jenkins.Jenkinsfile	HariSekhon/Jenkins	88e3b12724f73e68bc823ec10d72e9df9bbdb73f4cea074abdc0766e5ec387d3	88e3b12724f73e68bc823ec10d72e9df9bbdb73f4cea074abdc0766e5ec387d3	88e3b12724f73e68bc823ec10d72e9df9bbdb73f4cea074abdc0766e5ec387d3	none	false	56749	53409ff7c39068cf93a4710a9c653a43fd90c7e5	MIT	declared-license	1	true	declarative_valid	compile_or_model_failure	false	false	5294bb09e29878076a451177e9411531ad12c8418f45c9dba66c34c6f45d460d	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
HariSekhon_Nagios-Plugins.Jenkinsfile	HariSekhon/Nagios-Plugins	561f27d798986f7cafebb0c9ed61ed8989dfba1c96ceb5be2b2a1a73be1386fd	561f27d798986f7cafebb0c9ed61ed8989dfba1c96ceb5be2b2a1a73be1386fd	561f27d798986f7cafebb0c9ed61ed8989dfba1c96ceb5be2b2a1a73be1386fd	none	false	2263	61da09a2ab6c4a216901dde5f66402638f294305	NOASSERTION	evidence-only-noassertion	1	true	declarative_valid	compiled_waiting_for_agent	true	true	fc541a909b71e3a84266732a6e4524cd4741faf682c8ca49dd22708b0b384d57	denied-no-execution-authority	denied-no-execution-authority	unsupported	E_COMPILER_SUBSET_NOT_IMPLEMENTED	false
