file	repo	stars	bytes	jenkins_lint	jenkins_job_raw	jenkins_job	jenkins_elapsed_ms	jenkins_compiled	jenkins_reached_agent	chengis	chengis_stages	chengis_steps	ranvil	ranvil_actions	ranvil_errors
HariSekhon_Jenkins.Jenkinsfile	HariSekhon/Jenkins	95	56749	declarative_valid	groovy_compile_failure	compile_or_model_failure	352.874	False	False	parsed	49	76	rejected	76	E_UNSUPPORTED_RESULT_STEP,E_UNSUPPORTED_TRIGGERS,E_UNSUPPORTED_CREDENTIALS,E_UNSUPPORTED_OPTION,E_UNKNOWN_STEP,E_UNSUPPORTED_CONDITION
gdemengin_pipeline-logparser.Jenkinsfile	gdemengin/pipeline-logparser	18	52658	not_declarative_pipeline	compiled_waiting_for_agent	compiled_waiting_for_agent	1436.961	True	True	empty	0	0	rejected	0	E_PARSE
MrRameshRajendran_Hybrid_MultiCloud_Overlay.Jenkinsfile	MrRameshRajendran/Hybrid_MultiCloud_Overlay	138	25734	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	1263.994	True	True	parsed	5	4	accepted	0	
roryeckel_codex-jenkinsfile.Jenkinsfile	roryeckel/codex-jenkinsfile	7	19507	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	2086.116	True	True	parsed	5	5	rejected	4	E_UNSUPPORTED_PARAMETERS,E_UNSUPPORTED_CREDENTIALS,E_UNSUPPORTED_CONDITION
aws-samples_ecs-bg-external-controller.Jenkinsfile	aws-samples/ecs-bg-external-controller	10	17055	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	2512.544	True	True	parsed	12	15	accepted	0	
cloud-bulldozer_scale-ci-pipeline.Jenkinsfile	cloud-bulldozer/scale-ci-pipeline	17	15620	not_declarative_pipeline	missing_binding_or_library	missing_binding_or_library	3300.714	True	False	parsed	2	2	rejected	0	E_PARSE
SumitKr88_multiscanpipeline-jenkins-fastlane-ios.Jenkinsfile	SumitKr88/multiscanpipeline-jenkins-fastlane-ios	9	14021	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	2399.897	True	True	parsed	10	9	rejected	0	E_PARSE
Romeh_spring-boot-sample-app.Jenkinsfile	Romeh/spring-boot-sample-app	100	13976	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	967.142	True	True	parsed	9	12	rejected	5	E_UNSUPPORTED_OPTION,E_UNKNOWN_STEP
eldada_jenkins-pipeline-kubernetes.Jenkinsfile	eldada/jenkins-pipeline-kubernetes	226	13498	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	1583.119	True	True	parsed	13	31	rejected	8	E_UNKNOWN_STEP,E_UNSUPPORTED_CONDITION
cloudogu_gitops-playground.Jenkinsfile	cloudogu/gitops-playground	266	12821	declarative_valid	compiled_waiting_for_agent	compiled_waiting_for_agent	2735.942	True	True	parsed	4	2	rejected	9	E_UNSUPPORTED_TRIGGERS,E_UNSUPPORTED_OPTION,E_UNSUPPORTED_AGENT,E_UNKNOWN_STEP,E_UNSUPPORTED_CONDITION
