file	job_id	inventory_inline_sha256	config_sha256	enabled	state_generation	state_reason	node_authority
Ableton_python-pipeline-utils.Jenkinsfile	corpus-001-Ableton_python-pipeline-utils	541ede0e8e35b5c87c42af09c47f6b31c3e171dddbe51eeed9fa46b128cece1b	7123f793cac5752ea2fd918791fadcb72acef409220aec5a18350d108e06d13d	false	7123f793cac5752ea2fd918791fadcb72acef409220aec5a18350d108e06d13d	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
AmanPathak-DevOps_EKS-Terraform-GitHub-Actions.Jenkinsfile	corpus-002-AmanPathak-DevOps_EKS-Terraform-GitHub-Actions	d3723d35a45518b8179853f3db1cc948ab29d4ed11d6d69f4cd59a258f0341ef	05b0f84b19ee9b5d32703b40b3138cccc55c1b8ebfa020977707d56bcff2e3e2	false	05b0f84b19ee9b5d32703b40b3138cccc55c1b8ebfa020977707d56bcff2e3e2	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
BBVA_mirrorgate.Jenkinsfile	corpus-003-BBVA_mirrorgate	231f42d14a263a32724fa95f1081fd299d867a4c835f5cf55cb6efe2600e63aa	5842914d5b159ce59a4058ccdf2cdb4b7ea13405e3bc233efdf7e327eb44a8bf	false	5842914d5b159ce59a4058ccdf2cdb4b7ea13405e3bc233efdf7e327eb44a8bf	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
Ben1980_jenkinsexample.Jenkinsfile	corpus-004-Ben1980_jenkinsexample	86b26fd6b86c0bbacb4aeece0fceda7a261c1003d499dead9c6e79885fe46e3c	7f77931561f7814eeee95a4bf01e7b3e5b63a5e519ca1848d254735c4d7677b4	false	7f77931561f7814eeee95a4bf01e7b3e5b63a5e519ca1848d254735c4d7677b4	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
Blazemeter_taurus.Jenkinsfile	corpus-005-Blazemeter_taurus	074a0ee6c59965a517af59eabfc48d37fb2ee2b9d6735bad7ab6ca241c50bfdc	6887b221c4faec639104ac6dfc3c2c297c8280c896dcc79c81c521f9d7567e10	false	6887b221c4faec639104ac6dfc3c2c297c8280c896dcc79c81c521f9d7567e10	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
Chabane_mitosis-microservice-spark-cassandra.Jenkinsfile	corpus-006-Chabane_mitosis-microservice-spark-cassandra	f9cf8fc20d1932ff38baa4edae4c071a93489c4f5aded7bb9edda90fef5f6ff3	2e417ee0f8de76ba68a95a4c4219023c505addb41e5c17841ccdf6215cb29f78	false	2e417ee0f8de76ba68a95a4c4219023c505addb41e5c17841ccdf6215cb29f78	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
DeekshithSN_Jenkinsfile.Jenkinsfile	corpus-007-DeekshithSN_Jenkinsfile	3b51ff90605d69af6700d5afc230f886a6d7119ed8f76f3a7ddf68b6d14c5513	7eb02706da14de054b6c1c59541ee07b87367ed6cc463f354cc7663d3ebe3a69	false	7eb02706da14de054b6c1c59541ee07b87367ed6cc463f354cc7663d3ebe3a69	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
HariSekhon_DevOps-Bash-tools.Jenkinsfile	corpus-008-HariSekhon_DevOps-Bash-tools	def821a25309f566e5e68c2081126b2753b480cdea7748a785c0637c155a00ab	58f377c7c9940860197ba0ca30de7c45f4730bc3948dcb1ad6447ddc1bc8072a	false	58f377c7c9940860197ba0ca30de7c45f4730bc3948dcb1ad6447ddc1bc8072a	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
HariSekhon_Jenkins.Jenkinsfile	corpus-009-HariSekhon_Jenkins	88e3b12724f73e68bc823ec10d72e9df9bbdb73f4cea074abdc0766e5ec387d3	e147b273ee608c261d5f4b2d87d5af7c9fd72208b6a7df9255581c53305b87c3	false	e147b273ee608c261d5f4b2d87d5af7c9fd72208b6a7df9255581c53305b87c3	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
HariSekhon_Nagios-Plugins.Jenkinsfile	corpus-010-HariSekhon_Nagios-Plugins	561f27d798986f7cafebb0c9ed61ed8989dfba1c96ceb5be2b2a1a73be1386fd	fead2216e842cc1b987aaa3b93510d95c1bcb5711708665f27eab0de4f7b603b	false	fead2216e842cc1b987aaa3b93510d95c1bcb5711708665f27eab0de4f7b603b	offline-frozen-source-state	parse-only-controller-no-executors-or-nodes
