file	repo	source_sha256	bytes	commit_sha1	blob_sha1	default_branch	archived	license_spdx	license_path	license_blob_sha1	provenance_status
Ableton_python-pipeline-utils.Jenkinsfile	Ableton/python-pipeline-utils	541ede0e8e35b5c87c42af09c47f6b31c3e171dddbe51eeed9fa46b128cece1b	1781	38e62f92cff4c16a805e67b3269b28d91bf2f434	0ed39e6396c70fd6bdba293e53b5c73140f89a38	main	false	MIT	LICENSE	8864d4a39633c1bcb33a8983d146d0b6390ed3d0	exact-commit
AmanPathak-DevOps_EKS-Terraform-GitHub-Actions.Jenkinsfile	AmanPathak-DevOps/EKS-Terraform-GitHub-Actions	d3723d35a45518b8179853f3db1cc948ab29d4ed11d6d69f4cd59a258f0341ef	1929	6e3428437c7e413c2686cdf005933e11360025ec	3d6f27b6c4e39202a48309a87210e485aa1d2881	master	false	Apache-2.0	LICENSE	261eeb9e9f8b2b4b0d119366dda99c6fd7d35c64	exact-commit
BBVA_mirrorgate.Jenkinsfile	BBVA/mirrorgate	231f42d14a263a32724fa95f1081fd299d867a4c835f5cf55cb6efe2600e63aa	1181	92f44f98568f25f53b692f9860fa138a3a627ff6	caa6c7791bc3cf259911cf3b3fbae82f0dca281e	master	true	Apache-2.0	LICENSE	6f756351aae24b479e6a9418c1f08a8b7a991076	exact-commit
Ben1980_jenkinsexample.Jenkinsfile	Ben1980/jenkinsexample	8a22b54d0b015d020d3a5d4fa96333b912b52a41f1ec5409de3414230ee1fb43	1676	b5f91c714d1d417ab305cd4e9c381c191b0fbc71	4d8801c8615a8c9b620a6d6b1bae7df4eb2cb2ea	master	false	MIT	LICENSE	7926af0ffd2d54be7b381ecafc8e548d522a1455	exact-commit
Blazemeter_taurus.Jenkinsfile	Blazemeter/taurus	074a0ee6c59965a517af59eabfc48d37fb2ee2b9d6735bad7ab6ca241c50bfdc	4448	bfd6aa36fdc814d82f43abd99f7b89279e800002	9db44ed46b2911ef17b1955960d3a287aa88542b	master	false	Apache-2.0	LICENSE	d645695673349e3947e8e5ae42332d0ac3164cd7	exact-commit
Chabane_mitosis-microservice-spark-cassandra.Jenkinsfile	Chabane/mitosis-microservice-spark-cassandra	f9cf8fc20d1932ff38baa4edae4c071a93489c4f5aded7bb9edda90fef5f6ff3	984	6b232fadf5747eb609464b1e3f0ea3d904f6f397	2277b67249d0b03f0b763d581d2818ce49eda411	master	false	Apache-2.0	LICENSE	8dada3edaf50dbc082c9a125058f25def75e625a	exact-commit
DeekshithSN_Jenkinsfile.Jenkinsfile	DeekshithSN/Jenkinsfile	3b51ff90605d69af6700d5afc230f886a6d7119ed8f76f3a7ddf68b6d14c5513	697	a4a2620ef1b99e365bb254116919cc486d2668f0	7c9cc945c71ab71aa5ee8d24457a999e9605920b	inputTest	false	NOASSERTION			exact-commit
HariSekhon_DevOps-Bash-tools.Jenkinsfile	HariSekhon/DevOps-Bash-tools	def821a25309f566e5e68c2081126b2753b480cdea7748a785c0637c155a00ab	2269	4d9cdce86a2f408cb72ef02b20b3541ca803fade	53b639e11be36dabf239b0b057717227a29436c6	master	false	MIT	LICENSE	7e9e2fbc26a050a0dab798badf3cac4592ef0926	exact-commit
HariSekhon_Jenkins.Jenkinsfile	HariSekhon/Jenkins	88e3b12724f73e68bc823ec10d72e9df9bbdb73f4cea074abdc0766e5ec387d3	56749	53409ff7c39068cf93a4710a9c653a43fd90c7e5	64dac12ed632de7ed1149a20687cd07fd501aa0f	master	false	MIT	LICENSE	02b06ef569d12838573e55c4c1c06637ebcee62f	exact-commit
HariSekhon_Nagios-Plugins.Jenkinsfile	HariSekhon/Nagios-Plugins	561f27d798986f7cafebb0c9ed61ed8989dfba1c96ceb5be2b2a1a73be1386fd	2263	61da09a2ab6c4a216901dde5f66402638f294305	1a3f8254732ebad82e345ac16b743b1fe9bc9a53	master	false	NOASSERTION	LICENSE	dc6226f869c77664330cd4aea650435bad93dfd8	exact-commit
